THIGH_ANG SHIN_ANG THIGH_ACCEL VERT_ACCEL
4.72 -55.97 1.0 1.02
7.79 -53.31 1.03 1.04
8.42 -48.98 0.99 1.0
10.38 -45.9 0.99 1.02
11.92 -41.93 1.02 0.97
13.44 -37.55 1.0 0.99
14.51 -34.1 1.0 1.02
16.11 -30.17 1.03 1.02
16.98 -24.67 1.04 0.93
18.53 -20.81 1.01 0.95
19.27 -16.2 1.04 0.96
20.04 -11.91 1.03 0.99
21.53 -7.56 1.09 0.95
22.74 -3.99 1.01 1.0
22.68 0.92 1.06 1.0
23.11 4.15 1.08 0.99
23.36 6.25 1.12 0.97
23.63 9.9 1.13 0.99
23.53 13.09 1.1 0.98
23.51 14.33 1.14 1.02
23.93 17.45 1.13 0.99
23.59 18.78 1.13 1.01
22.56 19.87 1.11 1.01
22.9 20.45 1.17 0.98
22.65 21.5 1.2 1.01
21.65 22.54 1.23 0.99
21.34 22.55 1.19 1.91
20.24 21.02 1.25 1.95
19.68 20.82 1.24 1.9
18.03 19.27 1.24 1.93
17.52 17.43 1.26 1.95
17.06 15.87 1.25 1.9
16.56 15.31 1.27 1.9
16.03 13.29 1.29 1.0
14.35 11.83 1.3 0.99
14.31 9.58 1.3 0.98
12.92 6.85 1.31 0.95
12.85 5.36 1.33 1.0
12.02 2.65 1.35 0.97
12.0 1.39 1.37 1.02
11.36 -0.87 1.34 1.0
9.98 -2.57 1.37 0.99
8.45 -4.88 1.39 0.99
9.44 -5.95 1.37 0.96
8.1 -7.12 1.38 0.98
7.62 -8.13 1.37 1.01
7.7 -8.46 1.4 0.92
6.37 -9.79 1.37 0.97
6.66 -10.68 1.46 1.02
6.47 -10.63 1.38 0.99
5.72 -11.17 1.37 1.03
6.08 -10.41 1.38 0.98
5.56 -11.3 1.42 0.98
4.92 -10.89 1.43 1.03
4.86 -9.67 1.4 1.01
4.21 -10.04 1.35 1.02
3.65 -8.74 1.41 0.99
3.54 -7.37 1.41 0.94
2.39 -6.83 1.4 0.98
2.84 -6.13 1.38 0.99
1.48 -5.94 1.43 0.99
1.61 -4.97 1.37 0.95
1.29 -3.74 1.31 0.99
0.17 -3.84 1.34 1.01
-0.61 -3.07 1.36 1.02
-1.57 -4.07 1.37 1.02
-2.11 -3.26 1.32 1.03
-2.64 -3.37 1.3 0.94
-4.15 -4.54 1.31 1.01
-4.31 -5.04 1.3 0.99
-4.7 -6.85 1.31 0.97
-6.07 -7.87 1.27 1.02
-6.37 -10.37 1.21 0.96
-7.4 -12.09 1.25 0.99
-8.22 -14.2 1.25 0.99
