THIGH_ANG SHIN_ANG THIGH_ACCEL VERT_ACCEL
5.84 -57.38 1.01 0.97
7.83 -54.03 1.0 0.98
10.08 -49.7 0.98 1.01
12.55 -45.79 1.01 0.93
14.36 -41.64 1.02 1.03
16.46 -36.29 0.99 0.99
17.28 -32.78 0.99 1.01
18.88 -27.17 1.02 0.99
20.01 -22.91 0.98 0.98
21.22 -17.88 1.02 1.04
23.02 -13.38 1.07 0.94
23.8 -9.17 1.07 0.98
25.03 -3.6 1.09 1.0
25.15 1.07 1.03 0.99
26.5 4.38 1.04 1.01
26.02 6.98 1.1 1.0
26.67 11.91 1.07 1.01
26.65 13.87 1.11 1.0
26.52 16.23 1.16 1.02
25.92 18.05 1.14 0.94
25.68 19.7 1.17 0.98
25.25 20.54 1.2 1.0
24.17 21.82 1.19 1.02
24.18 22.17 1.2 1.02
23.36 22.03 1.24 1.92
22.94 20.58 1.26 1.91
21.08 20.76 1.23 1.89
20.25 18.8 1.23 1.95
20.15 17.95 1.29 1.93
19.62 16.44 1.32 1.94
18.23 13.91 1.3 1.95
16.49 11.88 1.3 0.99
16.55 9.63 1.33 1.03
15.38 7.53 1.34 1.05
13.98 6.04 1.36 0.97
12.78 3.6 1.35 1.0
12.18 1.24 1.37 0.96
11.18 -1.36 1.41 1.04
11.62 -2.68 1.39 0.99
10.1 -4.64 1.4 1.02
9.46 -6.96 1.42 1.01
9.29 -7.26 1.39 1.01
7.58 -8.6 1.42 0.96
7.49 -9.55 1.45 0.93
8.72 -10.74 1.42 0.99
6.89 -10.57 1.4 0.95
6.24 -10.24 1.43 0.97
5.13 -11.24 1.45 1.02
4.98 -9.59 1.43 1.05
5.18 -9.57 1.45 1.02
4.87 -9.35 1.44 1.0
4.4 -9.6 1.44 0.95
4.4 -8.39 1.46 1.02
3.5 -7.39 1.44 0.97
2.65 -6.48 1.42 0.99
2.44 -5.91 1.41 0.99
1.3 -4.66 1.42 1.01
1.51 -4.64 1.39 1.03
0.0 -4.56 1.38 0.99
-0.28 -3.12 1.41 0.97
-0.65 -2.95 1.37 0.98
-2.15 -3.06 1.37 1.02
-2.87 -4.06 1.33 0.99
-4.28 -5.09 1.34 1.0
-5.3 -5.21 1.34 1.02
-5.74 -7.25 1.32 1.03
-7.69 -9.12 1.29 0.95
-7.67 -10.73 1.29 0.99
-8.73 -13.17 1.23 1.0
-10.02 -15.57 1.26 0.94
-10.8 -17.8 1.26 1.03
-11.46 -21.17 1.25 0.94
-12.34 -24.04 1.18 1.01
-12.8 -28.02 1.21 1.02
-13.19 -32.51 1.15 1.0
-13.96 -35.1 1.15 1.01
-14.09 -38.71 1.17 1.04
-13.8 -42.09 1.13 0.98
-14.3 -45.69 1.11 1.0
-14.41 -49.1 1.13 1.04
-13.71 -52.28 1.13 0.98
-13.71 -55.6 1.09 1.02
-12.4 -57.35 1.08 0.96
-12.82 -60.07 1.07 1.01
-11.57 -62.3 1.02 0.97
-9.89 -63.17 1.03 0.97
-9.46 -65.48 1.02 1.04
-7.37 -66.21 1.01 0.99
-6.61 -65.94 1.03 1.05
-4.8 -64.9 1.0 1.0
-2.85 -65.04 1.01 1.04
-1.87 -63.02 1.02 1.0
